,PLAYERS,TEAM,POS,HAND,AGE,G,A,PTS,SV%,CAP HIT,TOTAL,TERM,TYPE
12,"Price, Carey",MTL,G,Left,37,0,0,0,0.0,"$10,500,000","$7,500,000",8 yrs,Std (Ext)
16,"Bobrovsky, Sergei",FLA,G,Left,36,0,0,0,0.907,"$10,000,000","$6,500,000",7 yrs,Std
23,"Vasilevskiy, Andrei",TBL,G,Left,30,0,2,0,0.92,"$9,500,000","$10,000,000",8 yrs,Std (Ext)
48,"Hellebuyck, Connor",WPG,G,Left,31,0,1,0,0.927,"$8,500,000","$10,000,000",7 yrs,Std (Ext)
59,"Sorokin, Ilya",NYI,G,Left,29,1,0,0,0.907,"$8,250,000","$8,250,000",8 yrs,Std (Ext)
60,"Swayman, Jeremy",BOS,G,Left,26,0,0,0,0.897,"$8,250,000","$10,000,000",8 yrs,Std
129,"Gibson, John",ANA,G,Left,31,0,1,0,0.91,"$6,400,000","$6,400,000",8 yrs,Std (Ext)
148,"Markstrom, Jacob",NJD,G,Left,35,0,0,0,0.906,"$6,000,000","$6,000,000",6 yrs,Std
150,"Binnington, Jordan",STL,G,Left,31,0,0,0,0.897,"$6,000,000","$7,500,000",6 yrs,Std (Ext)
156,"Grubauer, Philipp",SEA,G,Left,33,0,0,0,0.872,"$5,900,000","$6,800,000",6 yrs,Std
170,"Shesterkin, Igor",NYR,G,Left,29,0,0,0,0.906,"$5,666,667","$6,666,667",4 yrs,Std
186,"Merzlikins, Elvis",CBJ,G,Left,30,0,0,0,0.896,"$5,400,000","$6,000,000",5 yrs,Std (Ext)
189,"Jarry, Tristan",PIT,G,Left,29,0,1,0,0.894,"$5,375,000","$6,400,000",5 yrs,Std
192,"Kuemper, Darcy",LAK,G,Left,34,0,1,0,0.917,"$5,250,000","$6,000,000",5 yrs,Std
204,"Petersen, Cal",PHI,G,Right,30,0,0,0,0.0,"$5,000,000","$6,000,000",3 yrs,Std (Ext)
211,"Saros, Juuse",NSH,G,Left,29,0,1,0,0.898,"$5,000,000","$5,000,000",4 yrs,Std
213,"Ullmark, Linus",OTT,G,Left,31,0,1,0,0.912,"$5,000,000","$4,500,000",4 yrs,Std
220,"Demko, Thatcher",VAN,G,Left,29,0,0,0,0.891,"$5,000,000","$6,000,000",5 yrs,Std (Ext)
223,"Hill, Adin",VGK,G,Left,28,0,0,0,0.906,"$4,900,000","$4,200,000",2 yrs,Std (Ext)
233,"Luukkonen, Ukko-Pekka",BUF,G,Left,26,0,1,0,0.889,"$4,750,000","$4,750,000",5 yrs,Std
234,"Husso, Ville",ANA,G,Left,30,0,0,0,0.866,"$4,750,000","$4,750,000",3 yrs,Std (Ext)
253,"Knight, Spencer",CHI,G,Left,23,0,2,0,0.907,"$4,500,000","$4,500,000",3 yrs,Std (Ext)
263,"Mrazek, Petr",DET,G,Left,33,0,0,0,0.89,"$4,250,000","$4,850,000",2 yrs,Std (Ext)
279,"Oettinger, Jake",DAL,G,Left,26,0,1,0,0.907,"$4,000,000","$4,800,000",3 yrs,Std
280,"Korpisalo, Joonas",BOS,G,Left,30,0,0,0,0.896,"$4,000,000","$5,000,000",5 yrs,Std
295,"Allen, Jake",NJD,G,Left,34,0,0,0,0.911,"$3,850,000","$3,300,000",2 yrs,Std (Ext)
300,"Gustavsson, Filip",MIN,G,Left,26,1,1,0,0.915,"$3,750,000","$4,000,000",3 yrs,Std
321,"Georgiev, Alexandar",SJS,G,Left,29,0,1,0,0.874,"$3,400,000","$2,900,000",3 yrs,Std (Ext)
322,"Andersen, Frederik",CAR,G,Left,35,0,1,0,0.912,"$3,400,000","$3,100,000",2 yrs,Std
327,"Vanecek, Vitek",FLA,G,Left,29,0,1,0,0.882,"$3,400,000","$2,900,000",3 yrs,Std
332,"Brossoit, Laurent",CHI,G,Left,31,0,0,0,0.0,"$3,300,000","$3,300,000",2 yrs,Std
333,"Fedotov, Ivan",PHI,G,Left,28,0,0,0,0.884,"$3,275,000","$3,275,000",2 yrs,Std (Ext)
348,"Montembeault, Sam",MTL,G,Left,28,0,1,0,0.9,"$3,150,000","$4,000,000",3 yrs,Std (Ext)
374,"Forsberg, Anton",OTT,G,Left,32,0,0,0,0.896,"$2,750,000","$2,750,000",3 yrs,Std (Ext)
381,"Varlamov, Semyon",NYI,G,Left,36,0,0,0,0.889,"$5,750,000","$2,750,000",4 yrs,35+ Contract
384,"Vejmelka, Karel",UTA,G,Right,28,0,0,0,0.908,"$2,725,000","$2,775,000",3 yrs,Std (Ext)
392,"Skinner, Stuart",EDM,G,Left,26,0,0,0,0.896,"$2,600,000","$2,500,000",3 yrs,Std (Ext)
393,"Nedeljkovic, Alex",PIT,G,Left,29,1,1,0,0.891,"$2,500,000","$2,500,000",2 yrs,Std (Ext)
395,"Stolarz, Anthony",TOR,G,Left,31,0,1,0,0.92,"$2,500,000","$2,750,000",2 yrs,Std
396,"Talbot, Cam",DET,G,Left,37,0,0,0,0.901,"$2,500,000","$2,500,000",2 yrs,35+ Contract
401,"Fleury, Marc-Andre",MIN,G,Left,40,0,0,0,0.904,"$6,500,000","$2,500,000",1 yrs,Std (Ext)
412,"Blackwood, Mackenzie",COL,G,Left,28,0,0,0,0.911,"$2,350,000","$2,500,000",2 yrs,Std
424,"Vladar, Dan",CGY,G,Left,27,0,1,0,0.893,"$2,200,000","$2,200,000",2 yrs,Std (Ext)
445,"Kochetkov, Pyotr",CAR,G,Left,25,0,3,0,0.905,"$2,000,000","$1,750,000",4 yrs,Std (Ext)
452,"Ingram, Connor",UTA,G,Left,27,0,2,0,0.882,"$1,950,000","$1,950,000",3 yrs,Std (Ext)
460,"Samsonov, Ilya",VGK,G,Left,28,0,1,0,0.889,"$1,800,000","$1,800,000",1 yrs,Std
482,"Wedgewood, Scott",COL,G,Left,32,0,0,0,0.878,"$1,500,000","$1,500,000",2 yrs,Std
487,"Ersson, Samuel",PHI,G,Left,25,0,0,0,0.888,"$1,450,000","$1,300,000",2 yrs,Std (Ext)
503,"Quick, Jonathan",NYR,G,Left,39,0,0,0,0.896,"$6,275,000","$1,275,000",1 yrs,Std (Ext)
513,"Daccord, Joey",SEA,G,Left,28,0,2,0,0.909,"$1,200,000","$1,200,000",2 yrs,Std (Ext)
525,"Lindgren, Charlie",WSH,G,Right,31,0,0,0,0.899,"$1,100,000","$1,000,000",3 yrs,Std
537,"Tarasov, Daniil",CBJ,G,Left,25,0,1,0,0.883,"$1,050,000","$1,350,000",3 yrs,Std (Ext)
543,"Pickard, Calvin",EDM,G,Left,32,0,1,0,0.898,"$1,000,000","$1,000,000",2 yrs,Std (Ext)
544,"DeSmith, Casey",DAL,G,Left,33,0,1,0,0.914,"$1,000,000","$1,200,000",3 yrs,Std
549,"Rittich, David",LAK,G,Left,32,0,0,0,0.887,"$1,000,000","$1,000,000",1 yrs,Std (Ext)
553,"Reimer, James",BUF,G,Left,37,0,0,0,0.864,"$1,000,000","$1,000,000",1 yrs,Std
555,"Kahkonen, Kaapo",FLA,G,Left,28,0,0,0,0.8,"$1,000,000","$1,000,000",1 yrs,Std
592,"Soderblom, Arvid",CHI,G,Left,25,0,0,0,0.905,"$962,500","$1,000,000",2 yrs,Std (Ext)
602,"Black, Cooper",FLA,G,Left,23,0,0,0,0.0,"$950,000","$950,000",2 yrs,ELC
620,"Tolopilo, Nikita",VAN,G,Left,24,0,0,0,0.0,"$950,000","$950,000",2 yrs,ELC
635,"Kolosov, Aleksei",PHI,G,Left,23,0,0,0,0.87,"$925,000","$925,000",3 yrs,ELC
639,"Levi, Devon",BUF,G,Left,23,0,0,0,0.872,"$925,000","$925,000",3 yrs,ELC
642,"Commesso, Drew",CHI,G,Left,22,0,0,0,0.846,"$925,000","$925,000",3 yrs,ELC
649,"Dobes, Jakub",MTL,G,Left,23,0,0,0,0.907,"$925,000","$925,000",2 yrs,ELC
650,"Wallstedt, Jesper",MIN,G,Left,22,0,0,0,0.843,"$925,000","$925,000",3 yrs,ELC
670,"Askarov, Yaroslav",SJS,G,Right,22,0,1,0,0.896,"$925,000","$925,000",3 yrs,ELC
703,"Romanov, Georgi",SJS,G,Left,25,0,0,0,0.0,"$910,000","$950,000",2 yrs,ELC
714,"Lyon, Alex",DET,G,Left,32,0,0,0,0.9,"$900,000","$900,000",2 yrs,Std
754,"Kokko, Niklas",SEA,G,Left,21,0,0,0,0.667,"$891,667","$870,000",3 yrs,ELC
755,"Primeau, Cayden",MTL,G,Left,25,0,0,0,0.836,"$890,000","$1,100,000",3 yrs,Std
765,"Blomqvist, Joel",PIT,G,Left,23,0,0,0,0.885,"$886,667","$867,500",3 yrs,ELC
776,"Bjarnason, Carson",PHI,G,Left,19,0,0,0,0.0,"$881,667","$870,000",3 yrs,ELC
778,"Clang, Calle",ANA,G,Left,22,0,0,0,0.0,"$878,333","$925,000",3 yrs,ELC
780,"Clara, Damian",ANA,G,Left,20,0,0,0,0.0,"$878,333","$870,000",3 yrs,ELC
788,"Schmid, Akira",VGK,G,Left,24,0,0,0,1.0,"$875,000","$875,000",2 yrs,Std
791,"George, Carter",LAK,G,Left,18,0,0,0,0.0,"$875,000","$875,000",3 yrs,ELC
795,"Lankinen, Kevin",VAN,G,Left,29,0,1,0,0.904,"$875,000","$875,000",1 yrs,Std
797,"Murray, Matt",TOR,G,Left,30,0,0,0,0.879,"$4,875,000","$875,000",1 yrs,Std
800,"Hlavaj, Samuel",MIN,G,Left,23,0,0,0,0.0,"$875,000","$870,000",2 yrs,ELC
807,"Saarinen, Kim",SEA,G,Left,18,0,0,0,0.0,"$872,500","$872,500",3 yrs,ELC
846,"Suchanek, Tomas",ANA,G,Left,21,0,0,0,0.0,"$870,000","$870,000",3 yrs,ELC
850,"Brennan, Tyler",NJD,G,Left,21,0,0,0,0.0,"$870,000","$870,000",3 yrs,ELC
852,"Ostman, Victor",SEA,G,Left,24,0,0,0,0.0,"$870,000","$870,000",2 yrs,ELC
854,"Ignatjew, Waltteri",CGY,G,Left,25,0,0,0,0.0,"$870,000","$870,000",1 yrs,ELC
868,"Malek, Jakub",NJD,G,Left,22,0,0,0,0.0,"$867,500","$867,500",2 yrs,ELC
874,"Chrona, Magnus",NSH,G,Left,24,0,0,0,0.0,"$867,500","$867,500",2 yrs,ELC
884,"Lennox, Tristan",NYI,G,Left,22,0,0,0,0.0,"$867,500","$867,500",3 yrs,ELC
899,"Ratzlaff, Scott",BUF,G,Left,20,0,0,0,0.0,"$865,000","$865,000",3 yrs,ELC
919,"Cossa, Sebastian",DET,G,Left,22,0,0,0,0.857,"$863,333","$832,500",3 yrs,ELC
933,"Murashov, Sergey",PIT,G,Right,20,0,0,0,0.0,"$861,110","$861,110",3 yrs,ELC
936,"Ungar, Connor",EDM,G,Left,23,0,0,0,0.0,"$860,000","$860,000",2 yrs,ELC
954,"Gauthier, Taylor",PIT,G,Right,24,0,0,0,0.0,"$859,167","$867,500",3 yrs,ELC
961,"Vikman, Jesper",VGK,G,Left,23,0,0,0,0.0,"$858,000","$858,000",3 yrs,ELC
971,"Gylander, Carter",DET,G,Left,23,0,0,0,0.0,"$855,000","$855,000",2 yrs,ELC
973,"Ollas, Hugo",NYR,G,Left,22,0,0,0,0.0,"$855,000","$855,000",2 yrs,ELC
981,"Buteyets, Vyacheslav",ANA,G,Left,22,0,0,0,0.0,"$852,500","$852,500",2 yrs,ELC
984,"Akhtyamov, Artur",TOR,G,Left,23,0,0,0,0.0,"$851,667","$850,000",3 yrs,ELC
989,"Peksa, Vyacheslav",TOR,G,Left,22,0,0,0,0.0,"$851,667","$850,000",3 yrs,ELC
990,"Boyko, Talyn",NYR,G,Left,22,0,0,0,0.0,"$850,833","$860,000",3 yrs,ELC
992,"Silovs, Arturs",VAN,G,Left,23,0,0,0,0.858,"$850,000","$900,000",2 yrs,Std
993,"Kraws, Ben",DAL,G,Left,24,0,0,0,0.0,"$850,000","$850,000",1 yrs,ELC
995,"Wolf, Dustin",CGY,G,Left,23,0,3,0,0.914,"$850,000","$850,000",2 yrs,Std (2-way)
1008,"Saville, Isaiah",VGK,G,Right,24,0,0,0,0.0,"$849,667","$858,000",3 yrs,ELC
1019,"Zherenko, Vadim",STL,G,Left,24,0,0,0,0.0,"$846,667","$855,000",3 yrs,ELC
1025,"Khazheev, Ruslan",CAR,G,Left,20,0,0,0,0.0,"$845,000","$845,000",3 yrs,ELC
1028,"Hildeby, Dennis",TOR,G,Left,23,0,0,0,0.878,"$843,333","$855,000",3 yrs,ELC
1029,"Bjorklund, Garin",WSH,G,Left,22,0,0,0,0.0,"$843,333","$850,000",3 yrs,ELC
1034,"Milic, Thomas",WPG,G,Left,21,0,0,0,0.0,"$841,667","$835,000",3 yrs,ELC
1035,"Cranley, Will",STL,G,Left,23,0,0,0,0.0,"$841,667","$850,000",3 yrs,ELC
1036,"Lindbom, Carl",VGK,G,Left,21,0,0,0,0.0,"$840,000","$840,000",3 yrs,ELC
1049,"Annunen, Justus",NSH,G,Left,25,0,0,0,0.872,"$837,500","$800,000",2 yrs,Std (Ext)
